Elevation,Azimuth,F1_score
90,72,0
17,288,0
17,324,0
17,216,0.52
71,144,0.58
90,0,0
90,36,0
53,144,0.61
35,360,0.1
53,180,0.49
0,108,0
0,360,0
17,72,0
35,288,0
35,0,0.1
53,252,0.11
53,72,0
53,108,0
71,0,0
0,288,0
90,324,0
17,36,0
53,324,0
17,0,0
0,324,0
90,360,0
0,180,0.65
0,72,0
0,252,0
35,144,0.62
53,216,0.41
0,36,0
90,252,0
35,108,0
71,252,0
35,252,0.11
17,360,0
71,360,0
17,144,0.62
71,180,0.41
90,288,0
35,36,0
71,216,0
90,108,0
0,144,0.38
35,324,0
0,0,0
71,108,0
90,180,0
53,36,0.2
35,72,0
71,72,0
53,0,0.09
17,108,0
17,252,0.1
17,180,0.47
71,288,0
53,360,0.09
90,144,0
53,288,0
0,216,0.4
35,180,0.46
90,216,0
71,36,0
35,216,0.55
71,324,0
53,36,0
0,324,0
53,360,0
0,36,0.07
90,252,0
0,0,0
71,324,0
0,252,0
17,36,0
90,360,0
71,288,0
17,324,0
35,36,0
53,72,0
17,252,0
53,180,0.45
0,180,0.11
53,144,0.56
90,324,0.11
71,108,0.19
53,108,0
53,252,0.1
53,216,0.49
71,252,0
35,108,0
0,144,0.21
53,324,0
17,0,0
35,180,0.46
71,360,0
90,108,0.11
90,72,0.21
90,288,0
90,0,0
35,72,0
53,0,0
17,180,0.49
35,360,0.09
17,288,0
35,0,0.09
17,360,0
17,108,0
71,72,0
35,252,0.11
90,144,0
90,180,0
35,144,0.53
35,216,0.39
71,180,0.55
17,216,0.33
0,72,0
90,216,0
0,288,0
0,360,0
90,36,0.11
71,216,0.17
71,0,0
71,36,0
53,288,0
0,216,0
35,288,0
17,72,0
0,108,0
71,144,0.51
35,324,0
17,144,0.48
71,36,0
0,324,0
17,252,0
53,36,0
71,216,0.42
71,288,0
17,0,0
90,72,0
90,288,0
17,216,0.45
35,0,0
17,324,0
53,108,0
35,36,0
71,108,0
53,180,0.64
53,360,0.06
17,72,0
0,72,0
90,108,0
71,360,0
17,108,0
